あい	阿井,愛,曾,相,藍,會
もちぎ	持木
もちく	茂筑
もちざき	餅崎
もちじ	持地
もちずき	望月
もちた	餅田
もちたて	持立
もちだ	持田,百千田,望田,餅田,用田
もちだて	持舘
もちぢ	持地
もちづか	持塚
もちづき	望月
もちとみ	持冨
もちどめ	持留
もちなが	持永
もちぬし	望主
もちはし	持箸
もちはら	持原,餅原,糯原
もちます	持増
もちまつ	持松,用松
もちまる	持丸
もちやま	持山,餅山,用山
もっこう	木工
もったて	持舘
もって	物袋
もつたて	持（舎へんに官）,持館,持舘,持立
もつて	物袋
もづな	毛綱
もてき	茂木
もてぎ	𢰝木,茂手木,茂木
もてやま	茂手山
もでき	茂出木
もでぎ	茂出木
もと	元,本
もとあき	元秋,本明
もとい	基,元井,本井,本居
もといえ	元家,本家
もといけ	元池,本生,本池
もといし	元石,本石
もといずみ	元泉,本泉
もといね	元稲
もとう	毛藤
もとうえ	元植
もとうじ	元氏
もとうち	元内
もとうね	本畝
もとうめ	本梅
もとうら	元浦
もとえ	元榮,本江
もとえびす	元戎
もとお	元尾,元雄,本尾
もとおか	元岡,本岡
もとおり	本居,本告,本折
もとかげ	本影
もとかど	本門
もとかね	元兼
もとかりや	本仮屋
もとかわ	元川,本川
もとがいと	元垣内
もとがみ	元上
もとき	元起,元木,本木
もときした	本木下
もときみだ	本君田
もとぎ	元木,本儀
もとくちょう	本九町
もとくに	本國
もとくぼ	本久保
もとくぼた	本窪田
もとくら	元倉,本倉
もとこし	本越
もとごや	本古谷
もとさか	源栄
もとさき	本崎
もとさく	本作
もとさだ	本貞
もとさわ	元沢
もとざき	元﨑,本崎
もとざと	本里
もとざわ	元沢,元澤,本沢,本澤
もとしお	本塩
もとしげ	元茂,本重
もとした	本下
もとしま	元島,本島
もとしゅく	本宿
もとしらみず	本白水
もとしろみず	本白水
もとじ	元地,泉二
もとじま	元島,本島,本嶋
もとすえ	本末
もとすぎ	元杉,本杉
もとすけ	元祐,元裕
もとすねや	本強矢
もとず	本図
もとせ	本瀬
もとそこ	本底
もとぞの	本園,本薗
もとたに	元谷,本谷
もとだ	許田,元田
もとだか	本高
もとち	元地,元智,本地
もとつじ	元辻
もとつね	本常
もとづな	元綱
もとなか	元中,本中,本仲
もとなが	元永,元長,本永
もとなみ	本波,本並
もとなり	元成
もとに	元二
もとにし	元西,本西
もとぬし	望主
もとね	元根
もとの	元野,本野
もとのぶ	元信,本信
もとのみ	元呑
もとはし	元橋,本橋
もとはま	元浜,元濱
もとはら	元原,本原
もとはる	元春
もとば	元場
もとばやし	元林,本林
もとひさ	元久,本久
もとひら	本平
もとひろ	元廣,本廣
もとふじ	元藤,茂戸藤
もとぶ	本部
もとぶち	元渕
もとべ	元部
もとまつ	元松,本松
もとみつ	元満
もとみや	本宮
もとむら	元村,本村,本邑
もとむろ	本室
もとめ	求,本梅
もともち	元持,本持
もともり	元森
もとや	元屋,元家,元谷,元矢,本屋,本谷
もとやしき	本屋敷
もとやじ	元屋地
もとやす	元安,本保
もとやなぎ	本柳
もとやぶ	元藪
もとやま	元山,本山,茂登山
もとゆい	元結
もとゆえ	元故
もとゆき	元行
もとよし	元吉,元芳,本𠮷,本吉,本好,本由
もとよしや	本吉谷
もとら	元良
もとろく	本禄,本録
もとわき	元脇
もなか	茂中
もにわ	茂庭
もぬき	茂貫
ものい	物井
ものう	最能
ものえ	物江
ものだね	物種
もののべ	物延,物部
ものべ	物部
もはら	茂原
もまた	茂俣,茂又
もみ	茂見
もみい	籾井
もみおか	籾岡
もみき	椴木
もみじ	紅葉
もみた	籾田
もみたに	籾谷
もみの	樅野
もみのき	樅木
もみや	籾谷
もみやま	粟山,籾山,樅山
もむら	茂村
もも	桃,百々
ももい	桃井,百井
ももうち	桃内
ももうみ	百海
ももえ	桃枝
ももえだ	桃枝,百枝
ももお	桃尾
ももかわ	桃川,百川
ももがみ	百上
ももき	桃木,百木
ももきた	桃北,百北
ももきの	桃木野
ももさか	桃坂
ももさき	桃﨑,桃崎,百崎
ももさわ	百沢,百澤
ももざき	桃崎,百﨑,百崎
ももざわ	桃沢,桃澤,百澤
ももした	桃下
ももしま	百島,百嶋
ももじ	百次
ももじま	百嶋
ももずみ	百済
ももせ	桃瀬,百々瀬,百瀬,百生
ももぜ	百瀬
ももぞの	桃園
ももた	桃田,百田
ももたけ	百武
ももたに	桃谷,百渓
ももだ	桃田
ももだに	桃谷
ももち	百地
ももつ	桃津
ももつか	百束
ももづか	百塚
ももとみ	百富
ももとり	百鳥
ももどり	百鳥
ももな	百名
ももなり	百成
ももの	桃野
もものい	桃井
もものき	桃木
ももはら	桃原,百原
ももばやし	桃林
ももみ	百海
もももと	百本
ももや	桃谷
ももやま	桃山
もよし	茂吉
もり	護,最里,守,森,盛,母利,母里,茂利,茂理,茂里
もりあい	森合,森相,盛合
もりい	守井,森伊,森位,森井,森居,盛井
もりいけ	森生,森池
もりいし	守石,森石
もりいずみ	守泉,森泉
もりいと	森糸
もりいわ	森岩
もりうえ	森上
もりうち	守内,森内,盛内
もりうま	森馬
もりえ	森江,盛永
もりえだ	森枝
もりお	守尾,森生,森尾,盛生
もりおか	守岡,守丘,森岡,森丘,盛岡
もりおき	守興
もりおく	森奥
もりか	守家
もりかい	森開
もりかげ	森蔭,森影
もりかさ	森笠
もりかた	森方
もりかね	森兼
もりかみ	守上,森上,森神
もりかわ	守川,森河,森川,盛川,毛利川
もりが	守賀,森賀
もりがき	森垣
もりがみ	森上,盛上
もりがみこ	森上
もりき	森木
もりきた	森北
もりきよ	森清
もりぎわ	森際
もりくに	護邦,森国,森國
もりくぼ	森久保
もりくま	森熊
もりくら	森倉
もりぐち	守口,森口,盛口
もりこ	森子
もりこし	森越,森腰
もりさか	森坂,森阪
もりさき	守崎,森﨑,森崎,森碕,森嵜,盛崎
もりさく	森作
もりさこ	森迫
もりさだ	森貞,森定
もりさと	守里,森里
もりさね	盛実
もりさわ	森沢,森澤
もりざき	森崎
もりざくら	森桜
もりざね	森実,森實,盛実,盛實
もりざわ	森澤
もりしげ	守重,森重,森繁,盛重
もりした	守下,森下,盛下,杜下
もりしま	守島,森島,森嶋,森嶌,盛島
もりじり	森尻
もりす	森須
もりすえ	森末
もりすぎ	森杉
もりすな	盛砂
もりずみ	守住,森住
もりせ	守瀬,森瀬,森勢,森清
もりそと	森外
もりその	森園
もりぞの	森園,森薗
もりた	守田,森田,盛多,盛田
もりたか	森髙,森高
もりたき	森滝,森瀧
もりたけ	森滝,森竹,森武,盛武
もりたに	守谷,森谷,盛谷
もりたま	森玉
もりたん	森反
もりだいら	森平
もりち	森知,森地
もりちか	森近
もりつ	森津
もりつか	森塚,森塚
もりつぐ	森継,森次
もりつじ	森辻
もりつな	森綱
もりつね	森常
もりつぼ	盛坪
もりづか	森塚,森塚
もりてら	森寺
もりでら	森寺
もりと	守戸,守都,森戸
もりとう	森東,森藤,盛藤
もりとき	守時,盛一
もりとし	森年
もりとみ	守富,森冨
もりとも	守友,森友
もりとよ	森豊
もりどめ	盛留
もりなか	守中,森中
もりなが	守永,森永,森長,盛永
もりなり	森成
もりにし	森西
もりぬし	森主
もりね	森根,盛根
もりの	守能,森能,森野,盛野
もりのき	森ノ木
もりのぶ	森信
もりのべ	森野辺
もりのもと	森之本
もりはし	守橋,森橋
もりはた	森畑,森畠
もりはな	森鼻
もりはま	森濱
もりはら	森原
もりばた	森畠
もりばたけ	森畠
もりばやし	森林,盛林
もりひら	森比良,森平
もりひろ	守弘,森広,森弘,森廣
もりふく	森福
もりふさ	盛房
もりふじ	森藤
もりべ	守部,森部,森邊
もりまさ	森政,森正,森柾,盛政
もりまつ	森松
もりみ	森見
もりみつ	守光,森光,森満,盛光,盛満,毛利光
もりみや	森宮
もりみょう	森明
もりむね	森宗,森棟
もりむら	守村,森村
もりも	森茂
もりもと	守本,森元,森本,森夲,盛本
もりや	守屋,守家,守谷,守矢,森屋,森家,森江,森谷,盛谷
もりやす	守安,森安,森保,盛安
もりやま	護山,守山,森山,盛山
もりゆき	森行
もりよし	守吉,森吉,森好
もりわか	森若
もりわき	守脇,森脇
もりわけ	守分,森分
もろ	師,茂呂,茂路,毛呂,毛籠
もろい	師井,諸井,茂呂居
もろいし	諸石
もろいずみ	諸泉
もろいわ	諸岩
もろえ	諸江
もろお	師尾
もろおか	師岡,諸岡
もろかど	諸角
もろかみ	諸上
もろかわ	諸河,諸川,両川
もろが	諸我,諸賀
もろき	衆樹,諸木,萬木
もろぎ	諸木
もろくず	諸葛
もろくま	諸熊,諸隈
もろぐち	諸口
もろぐま	諸熊
もろこし	諸越
もろさか	諸坂
もろさわ	諸沢,諸澤,両澤
もろじ	諸治
もろずみ	諸角,諸墨,両角
もろた	師田,諸多,諸田
もろたに	諸谷
もろだ	諸田
もろづみ	諸積
もろと	諸戸,諸頭
もろとみ	諸富,諸冨
もろどめ	諸留
もろなが	諸永
もろぬき	諸貫
もろね	諸根
もろの	諸野
もろはし	師橋,諸橋
もろはら	諸原
もろばやし	諸林
もろひら	諸平
もろふし	諸節,諸伏
もろふじ	諸藤
もろほし	諸星
もろみ	諸見
もろみざと	諸見里
もろみじゃ	諸見謝
もろむぎ	諸麦
もろやま	諸山
もろゆう	諸遊
もん	門
もんかわ	紋川,門川
もんぎ	門木
もんぐち	門口
もんじ	文字,門司
もんじゅ	文殊,文珠
もんじゅがわ	文珠川
もんじゅしろう	文殊四郎,文珠四郎
もんぜん	門前
もんた	門田
もんたに	門谷
もんだ	紋田,門田
もんぢゅうしょ	問註所
もんで	門出
もんでん	門伝,門田,門傳
もんと	門戸
もんとり	水取
もんどう	門藤
もんな	門奈
もんない	門内
もんなが	門長
もんの	門野
もんばやし	門林
もんべ	門部
もんべつ	門別
もんま	門間,門真,門馬
もんまえ	門前
もんや	紋谷,門家,門矢
やい	屋井,矢井
やいざわ	八井沢
やいた	八板,矢板
やいたばし	矢板橋
やいだ	矢井田
やいち	家市
やいり	矢入
やうじ	弥氏
やうた	矢歌
やうち	屋内,矢内
やうちだ	谷内田
やうら	矢浦
やえ	八戸,八江,八重
やえお	八重尾
やえかしわ	八重柏
やえかわ	八重川
やえがき	八重垣
やえがし	八重樫
やえがしわ	八重柏
やえがわ	八重川
やえくら	八重倉
やえざ	八重座
やえざくら	八重桜,八重櫻
やえざわ	八重沢,八重澤
やえした	八重下
やえしま	八重島,八重嶋
やえじま	八重嶋
やえだ	八重田
やえだけ	八重嶽
やえづ	八重津
やえの	八丈野
やえはし	八重橋
やえやま	八重山
やお	八尾,八百,矢尾
やおい	八百井,矢追
やおいた	八百板,矢尾板
やおか	矢岡
やおかわ	八百川
やおく	矢奥
やおさ	八筬
やおさか	八尾坂
やおた	矢尾田
やおたに	八尾谷,八百谷
やおとめ	八乙女
やおの	八百野
やおむら	八百村
やおり	矢折
やか	屋嘉,家加,八家
やかけ	矢掛
やかしろ	八ヶ代
やかず	矢数
やかた	屋形,屋片,屋方,家形,矢形,矢方
やかび	屋嘉比
やかぶ	屋嘉部
やかべ	屋嘉部,八加部,八壁,矢ケ部,矢ヶ部,矢加部,矢可部,矢賀部,矢壁
やかま	八釜
やかみ	八上,八神,矢上
やかめ	八亀,矢亀
やかもと	矢鹿本
やかわ	八川,矢川
やが	屋我
やがい	屋貝,谷開,谷貝,矢ヶ井,矢貝,矢飼,矢谷
やがき	屋垣,家垣,矢垣
やがけ	家掛
やがさき	谷ケ崎,谷ヶ崎,矢ケ崎,矢ヶ﨑,矢ヶ崎
やがしら	家頭
やがしろ	谷ケ城,谷ヶ城,八ヶ代
やがた	屋形,矢形
やがはら	谷川原
やがみ	屋上,谷神,八上,八神,矢上,矢神
やがめ	家亀,谷亀
やがら	八柄
やがわ	箭川,谷河,矢川
やき	矢貴
やきがや	八木ヶ谷
やきしま	焼島
やきた	焼田
やきだ	燒田
やきひろ	焼広
やきや	焼家,脇家
やきやま	焼山
やきれ	八切
やきわら	八木原
やぎ	屋宜,屋木,箭木,谷木,八代,八木,矢城,矢木,柳吉
やぎい	楊井
やぎう	栁生,柳生
やぎうち	柳内
やぎうら	柳浦
やぎがや	八木ヶ谷
やぎさわ	八木沢,八木澤,矢木沢
やぎした	栁下,八木下,柳下
やぎた	八木田,柳田
やぎたに	八木谷
やぎと	八木戸
やぎぬま	八木沼,桝沼,柳沼
やぎの	八木野
やぎはし	八木橋,柳橋
やぎはら	八木原
やぎひら	八木平
やぎまき	八木巻
やぎもと	柳本
やぎゅう	栁生,谷牛,野牛,柳生,柳父
やぎゅうだ	柳生田
やぎら	柳楽
やぎり	矢切
やく	夜久
やくがわ	役川
やくし	薬司,薬師,藥師
やくしいん	薬師院
やくしがわ	薬師川,藥師川
やくしげ	役重
やくしじ	薬師寺,藥師寺
やくしじん	薬師神
やくしまる	薬師丸
やくすえ	弥久末
やくた	役田
やくでん	役田
やくの	役野
やくぼ	八窪,弥久保,矢久保
やくまる	薬丸
やくも	耶雲
やくもと	薬本
やくやま	役山
やくら	八倉,矢倉
やくわ	八鍬
やぐち	山口,谷口,矢口
やぐま	矢熊
やぐら	八倉,矢倉
やぐらまき	八倉巻
やけいし	矢毛石
やけすぎ	焼杉
やけだ	焼田
やけひろ	焼廣
やけや	焼谷
やけやま	焼山
やげた	屋ヶ田,八下田
やげんじ	八源寺,薬研地
やこ	谷古,八子
やこう	谷古宇,八髙,八国生,八子,夜光,矢古宇,矢光,矢向
やこじま	矢古島
やご	家後,八子,野吾,矢後
やごう	家合,矢郷,矢後,矢合
やごうら	御祓如
やごおり	弥郡
やごし	矢越
やごしま	野牛島,矢古嶋
やごめ	矢込
やごろ	矢頃
やごろうまる	八五郎丸
やさ	弥佐
やさいこ	家才子
やさお	八筬
やさか	八坂,八阪,矢坂,矢阪
やさき	矢﨑,矢崎
やさく	矢作
やさし	夜差
やさだ	矢定
やさと	八里
やざき	矢﨑,矢崎
やざま	矢間,矢佐間
やざわ	谷沢,谷澤,八沢,矢沢,矢澤
やし	家志
やしお	八塩
やしか	八鹿
やしき	屋敷,屋鋪,家敷,谷敷,矢敷,矢鋪
やしきだ	屋敷田
やしきの	屋敷野
やしげ	八重,弥重,彌重
やした	矢下
やしな	八品
やしば	矢柴
やしま	谷嶋,八島,八嶋,八嶌,矢島
やしろ	屋城,屋代,家城,社,社城,谷代,八城,八尋,八代,野城,矢城,矢代
やしろだ	八代田
やしろだい	八代醍
やじ	屋宜,屋地,家治,谷治,八道,矢治
やじおか	屋地岡
やじま	谷島,谷嶋,八島,矢島,矢嶋,矢嶌
やじん	夜陣
やす	安,康,八須,夜須,野洲,矢須,矢数
やすい	安威,安井,安居,康井,保位,保井
やすいけ	安池,保池
やすいわ	安岩
やすうみ	安海
やすうら	安浦,保浦
やすえ	安恵,安江,泰江,保江
やすえだ	安枝
やすお	安尾,保尾
やすおか	安岡,安陵,泰岡,保岡
やすかがわ	安カ川,安ヵ川,安ヶ川
やすかた	安酸,安方
やすかわ	安川,泰川,保川
やすがき	安垣
やすがた	安形
やすがひら	安ケ平
やすき	安喜,安木,保木
やすぎ	安木,安來,八杉,矢杉
やすくに	安国,安國
やすくも	安雲
やすくら	安蔵,保倉
やすぐち	安口
やすげ	矢菅
やすこうち	安河内
やすさか	安坂
やすざ	安座
やすざか	安坂
やすざき	安崎
やすざと	安里
やすざわ	安沢,安澤,保澤
やすし	安士
やすした	安下
やすしま	安嶋
やすじ	保地
やすじま	安島,安嶋,保嶋
やすずみ	安澄,安栖
やすた	安田
やすたか	安髙,安高,安酸
やすたけ	安竹,安武,保竹
やすたに	安谷
やすたにや	安谷屋
やすだ	安田,家寿多,家壽多,康田,泰田,保多,保田
やすちか	安近
やすつね	安恒
やすづか	安塚
やすとみ	安富,安冨,保富
やすとめ	安留
やすとも	安友
やすど	安戸
やすどみ	安冨
やすなか	安中,安仲,保中
やすなが	安永,康永,泰永,保永
やすなみ	安波,安並,安浪,休波
やすなり	安成,保成
やすにし	安西
やすにわ	安庭
やすの	安野,泰野
やすのぶ	安延,安信
やすのべ	安延
やすのり	安則,康乗
やすはら	安原,保原
やすば	安場,安葉,安塲,休場
やすばやし	安林
やすひ	安日
やすひこ	安彦
やすひさ	安久
やすひら	安平,易平
やすひろ	安広,安廣
やすふく	安福
やすぶち	安渕
やすほ	安保
やすま	安間,保間
やすまご	安孫
やすまさ	安政
やすます	安増
やすまつ	安松
やすまる	安丸
やすみ	安見,休,八角
やすみつ	安光
やすみば	休場
やすむら	安村,康村,保村
やすむろ	安室
やすもち	保持
やすもと	安元,安泉,安本,康本,保元,保本
やすもり	安守,安森,安盛,保森
やすもろ	安諸
やすや	安屋
やすやま	安山,泰山,保山
やすゆき	安行
やすよし	安吉,安好
やすら	保良
やすらおか	安楽岡
やすらか	安良賀
やすわか	安若
やすわき	保脇
やすんば	休場
やず	谷津,矢津,矢頭
やずみ	八隅,矢住
やせ	八瀬
やぜ	矢是
やそ	八十,矢三
やそおか	八十岡
やそかわ	八十川
やそがわ	八十川
やそぎ	八十木
やそしま	八十島,八十嶋
やそじま	八十島,八十嶋
やそずみ	八十住
やそだ	八十田
やそはち	八十八
やそはま	八十濱
やそはら	八十原
やた	谷田,矢田
やたか	家高,谷高,八髙,矢高
やたがい	谷田貝,八谷,矢田貝,矢田谷
やたがわ	谷田川
やたき	矢瀧
やたけ	矢竹,矢武
やたざわ	谷田沢
やたて	矢立
やたに	八谷,弥谷,矢谷
やたの	八田野
やたば	八田羽
やたべ	谷田部,谷田辺,矢田部
やだ	屋田,箭田,矢田
やだい	矢代
やだか	家高,谷高
やだがい	八谷
やだけ	箭竹,矢竹
やち	谷地,谷内,矢地
やちうね	谷地畝
やちえ	谷内江
やちく	八竹
やちぐさ	八千草
やちぐち	谷内口
やちご	八児
やちざか	谷内坂
やちした	谷内下
やちた	谷地田,谷内田
やちだ	谷地田,谷内田
やちなか	谷地中,萢中
やちむら	谷地村
やちもと	谷地元
やちよ	八千代
やつ	谷津,八津
やつい	谷井,八ツ井,八井
やつう	矢通
やつお	八ツ尾,八尾
やつおか	八岡
やつか	谷塚,八束
やつき	屋附,八槻,八木
やつぎ	八ツ木,矢次
やつしろ	八代
やつじ	八辻
やつだ	谷ッ田,谷津田,谷田,八ツ田,八田
やつづか	八塚,八ッ塚,八束,八塚
やつど	八度
やつなみ	八波,八並,八浪
やつはし	八ッ橋,八ツ橋,八橋
やつばやし	八林
やつふさ	八房
やつふじ	八藤
やつぼし	八ッ星
やつみみ	八耳
やつもんじ	八文字
やつや	八谷
やつやく	八ッ役
やつやなぎ	八柳
やつり	八釣
やつるぎ	八剣,八剱
やづ	谷津,矢津
やてはた	八手幡
やてまた	八手又
やてら	矢寺
やでら	矢寺
やと	谷戸,矢戸
やといち	雇地
やとう	谷藤,八登,弥登,弥頭,矢藤,矢頭
やとうげ	八峠
やとうご	八藤後
やとうじ	八頭司
やとうまる	八藤丸
やとみ	弥富,弥冨,矢富,矢冨,彌冨
やとめ	矢留
やとも	八朝
やとり	矢取
やどいわ	宿岩
やどころ	谷所
やどひさ	宿久
やどまえ	宿前
やどみ	矢富
やどめ	矢留
やどもと	宿本
やどや	角屋
やどり	宿利,宿里
やどりはら	宿利原
やな	八名,梁,簗
やない	栁井,栁内,家内,箭内,谷内,野内,矢内,柳井,柳内,楊井,梁井
やないけ	屋名池
やないだ	柳井田
やないだに	柳井谷
やないはら	矢内原
やなうち	柳内
やなうら	柳浦
やなお	柳尾
やなおか	柳岡
やなか	屋仲,谷中,谷仲,矢中,矢仲
やなが	弥永,矢永,矢長
やながせ	柳ヶ瀬,柳河瀬
やながつぼ	柳坪
やながわ	栁川,川,柳河,柳川,楊河,梁川
やながわせ	柳川瀬
やなき	簗木
やなぎ	栁,柳,柳木,楊
やなぎい	柳井
やなぎうち	栁内,柳内
やなぎえ	柳衛
やなぎかわ	柳川
やなぎくぼ	柳久保
やなぎぐち	柳口
やなぎさわ	栁沢,栁澤,柳沢,柳澤,椥澤,澤
やなぎした	柳下
やなぎしま	栁島,柳島,柳嶋
やなぎせ	柳瀬
やなぎそ	柳曽
やなぎた	栁田,柳田
やなぎたて	柳舘
やなぎたに	柳谷
やなぎだ	栁田,柳田
やなぎだいら	栁平,柳平
やなぎだて	柳館,柳舘
やなぎだに	柳谷
やなぎだれ	柳垂
やなぎつ	柳津
やなぎどう	柳堂
やなぎの	柳野
やなぎはし	柳橋,楊箸
やなぎはら	栁原,柳原
やなぎば	柳場,柳葉
やなぎばし	柳橋
やなぎばやし	柳林
やなぎほり	栁堀,柳堀
やなぎぼり	柳堀
やなぎまち	栁町,柳町
やなぎむら	栁村,柳村
やなぎもと	栁本,柳元,柳本
やなぎもり	柳森
やなぎや	柳屋,柳谷
やなぎやま	柳山
やなぎわら	柳原
やなぐいだ	柳杭田
やなごう	柳郷
やなざき	柳崎
やなした	柳下
やなしま	梁島,簗島
やなじ	柳路
やなせ	栁瀬,瀬,矢那瀬,柳瀬,柳清,梁瀬,簗瀬
やなそ	柳曽
やなたけ	柳武
やなだ	家名田,柳田,梁田,簗田
やなち	柳池,梁池
やなづめ	簗詰
やなとり	梁取,簗取
やなどり	梁取
やなねぎ	山根木
やなはし	柳橋
やなば	簗場
やなひら	柳平
やなぶ	柳父
やなべ	矢鍋,柳部,簗部
やなほり	柳堀
やなみ	八浪,矢浪
やなむら	柳村
やなもと	柳本,梁本
やなもり	柳森
やなり	屋成,家成,矢成
やなる	矢鳴
やぬき	矢貫
やぬま	矢沼
やね	屋根,家根,矢根
やねたに	家根谷
やねだ	屋根田
やの	箭野,谷野,弥野,矢埜,矢納,矢農,矢野,柳野,箟
やのう	矢納,矢能
やのうら	矢ノ浦
やのお	矢野尾
やのくち	矢ノ口,矢野口
やのくら	矢野倉
やのした	矢ノ下
やのと	矢野東
やのどう	矢野堂
やのね	矢ノ根
やのはら	矢野原
やのぶ	矢延
やのべ	矢延
やのほ	矢方
やのま	矢野間
やのめ	矢ノ目,矢野目
やのもと	矢ノ本
やはぎ	谷萩,矢作,矢矧,矢萩
やはし	八橋,矢橋
やはた	八幡,八畑,八籏,矢羽田,矢幡
やはなし	矢放
やはの	矢羽野
やはば	矢羽々,矢幅
やはら	箭原,八原,矢原
やはり	矢張
やば	八馬,矢羽,矢場
やばし	矢橋
やばせ	矢橋
やばた	矢端
やばな	矢花
やばら	矢原
やひこざわ	八彦沢,矢彦沢
やひさ	屋久
やひろ	宗正,八尋
やびき	矢引
やびく	屋比久
やふそ	屋富祖
やふね	八舟
やぶ	屋部,薮,養父,籔,藪
やぶい	藪井
やぶうち	薮内,籔内,藪内
やぶうら	籔裏
やぶえ	薮江
やぶかみ	薮上
やぶき	屋葺,箭吹,八吹,矢吹,矢葺,薮木,藪亀,藪木
やぶくち	薮口
やぶぐち	薮口
やぶさき	八武崎,薮崎,藪崎
やぶざき	藪嵜
やぶした	薮下,籔下,藪下
やぶた	薮田,籔田,藪田
やぶたに	薮谷,藪谷
やぶち	矢淵
やぶつじ	藪辻
やぶなか	薮中,藪中
やぶなが	藪長
やぶにし	藪西
やぶね	薮根,籔根,藪根
やぶの	薮野,籔野,藪野
やぶのうち	薮ノ内,薮内,薮之内,籔ノ内,藪ノ内
やぶはら	薮原
やぶみ	薮見
やぶもと	薮本,籔本,藪本
やぶや	藪谷
やぶわき	薮脇,籔脇
やべ	屋部,谷部,谷郶,八戸,八部,矢部,矢辺,矢邊
やほこ	矢鉾
やま	山
やまあい	山合
やまあさ	山浅
やまあし	山足
やまい	山井,山居
やまいえ	山家
やまいし	山石
やまいずみ	山泉
やまいち	山一,山市
やまいで	山出
やまいま	山今
やまうえ	山上
やまうち	山内
やまうつり	山移
やまうら	山浦
やまえ	山榮
やまお	山尾,山雄
やまおか	山岡
やまおき	山沖
やまおつ	山乙
やまおと	山音
やまおり	山折
やまか	山加,山香
やまかく	山角
やまかげ	山蔭,山陰,山影
やまかじ	山梶
やまかた	山形,山肩,山方
やまかつ	山勝
やまかど	山角,山門
やまかべ	山壁
やまかみ	山上,山神
やまかわ	山河,山川
やまが	山家,山我,山賀,山鹿
やまがい	山貝
やまがき	山垣
やまがた	山形,山県,山肩,山片,山方,山縣
やまがみ	山上,山神
やまがわ	山側
やまき	山岐,山木,山橲,八巻,八牧,八槙,八卷,八槇,矢牧
やまきた	山喜多,山北,山木田
やまきど	山木戸
やまきり	山切
やまぎし	山岸
やまぎわ	山極,山際
やまく	山来
やまくち	山口
やまくに	山国,山國
やまくび	山首
やまくら	山倉
やまくろ	山畔
やまぐち	山口
やまぐま	山隈
やまぐろ	山黒
やまこし	山越,山腰
やまご	山子
やまごう	山郷
やまごえ	山越
やまごし	山越
やまさ	山佐
やまさか	山坂
やまさき	山﨑,山咲,山崎,山先,山前,山岬
やまさく	山作
やまさと	山里
やまさわ	山沢,山澤
やまざ	山座
やまざき	山﨑,山崎,山碕,山嵜
やまざと	山里
やまざわ	山沢,山澤
やましか	山鹿
やましき	山敷,山舗
やましげ	山重,山菅
やました	山下
やましだ	山志田,山信田
やましな	山科,山階,山品
やましの	山篠
やましま	山島,山嶋
やましろ	山城,山代,山白
やましろや	山城屋,山代屋
やまじ	山司,山次,山地,山道,山路
やまじょう	山上,山丈,山條
やます	弥益
やますえ	山末
やますが	山菅
やますげ	山菅
やますじ	山筋
やますそ	山裾
やますだ	山須田
やますみ	山澄
やまずみ	山角,山住,山澄
やませ	山瀬,山勢,山生
やませき	山関
やまそ	山岨
やまそと	山外
やまそば	山岨
やまぞえ	山添,山副
やまた	山多
やまたか	山髙,山高
やまたき	山滝,山瀧
やまたけ	山竹
やまたて	山楯
やまたに	山谷
やまたま	山玉
やまだ	山田,矢満田
やまだい	山台
やまだいら	山平
やまだき	山抱
やまだしま	山田島
やまだて	山舘
やまだや	山田屋
やまち	山知,山地,八町
やまちか	山近
やまちょうし	山瓶子
やまちよ	山千代
やまぢ	山地
やまつ	山津,八松
やまつか	山塚
やまつじ	山辻
やまつた	山蔦
やまて	山手
やまで	山出
やまでや	山出谷
やまでら	山寺
やまと	山戸,山登,大和,倭
やまとう	山藤
やまとぎ	山砥,山磨
やまとく	山徳
やまとこ	山床
やまとだに	大和谷
やまとみ	山冨
やまとや	大和屋,大和谷
やまど	山門
やまどり	山取,山鳥
やまな	山名
やまなか	山中,山仲
やまなかじま	山中島
やまなが	山永
やまなし	月見里,山梨
やまなだ	山名田
やまなみ	山南,山並
やまなり	山成
やまにし	山西
やまぬし	山主
やまね	山音,山根,山子
やまねき	山根木
やまねざわ	山根澤
やまの	山埜,山野
やまのい	山ノ井,山井,山埜井,山野井
やまのう	山納
やまのうえ	山之上,山野上
やまのうち	山ノ内,山内,山之内,山野内
やまのかわ	山ノ川
やまのくち	山ノ口,山之口
やまのぐち	山ノ口,山之口
やまのこし	山之腰
やまのした	山ノ下
やまのは	山ノ端,山入端,山之端
やまのべ	山延,山廼辺,山廼邉,山辺,山野辺,山野邊,山野邉,山邉
やまのめ	山野目
やまのもと	山之元,山野本
やまは	山羽,山葉
やまはし	山橋,山端
やまはた	山端,山幡,山畑,山畠
やまはつ	山初
やまはな	山花,山端
やまはま	山濱
やまはら	山原
やまば	山羽,山場
やまばた	山端
やまばな	山端
やまばやし	山林
やまひゃく	山百
やまひら	山平
やまひろ	山広,山廣
やまび	山火,山日
やまふじ	山藤
やまぶき	山吹
やまぶし	山伏
やまぶち	山縁,山淵
やまぶろ	山風呂
やまべ	山部,山辺,山邊,山邉
やまべり	山端
やまほ	山保
やまま	山間
やまます	山枡
やままつ	山松
やまみ	山見,山美
やまみず	山水
やまみち	山道
やまみつ	山光
やまみや	山宮
やまむら	山村,山邑
やまむろ	山室
やまもと	山元,山本
やまもとや	山本屋
やまもり	山守,山森,山盛
やまや	山屋,山家,山谷
やまよし	山吉
やまり	山理
やまりく	山陸
